DRDP Measure,** DRDP Developmental Level ,** Teaching Practice Category,Resource Agency,Activity Title,Activity Description,URL,"** FS Domain (should be Cognitive, Language, Physical or Social Emotional)","Age Range (months) should be the numbers only, e.g., 6-12)",Extra columns unique to that form (list out after) create a new column for each unique variable,FS ActivityCard #,FS Music,FS Infant Card SPANISH URL,"FS Intentions (should be Communication, Attention, Curiosity or Persitence)","FS Intentions (should be Communication, Attention, Curiosity or Persitence)","HSELOF goals (IT-ATL #, IT-SE #, IT-LC #, IT-C #, IT-PMP #)",ASQ page number
ATL-REG 5: Self-Control of Feelings and Behavior,"Exploring Earlier, Exploring Later, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,Quiet LOUD by Leslie Patricelli,"The book provides many fun examples of quiet and loud noises, places, objects and animals (whispering is quiet and screaming is loud; turtles are quiet and monkeys are loud). Additional activities for transitions, music/movement, outside.",https://csefel.vanderbilt.edu/booknook/quiet_loud.pdf,Social and Emotional Development,12 - 36,,,,,,,,
SED 2: Social and Emotional Understanding,"Exploring Earlier, Exploring Later, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,Quiet LOUD by Leslie Patricelli,"The book provides many fun examples of quiet and loud noises, places, objects and animals (whispering is quiet and screaming is loud; turtles are quiet and monkeys are loud). Additional activities for transitions, music/movement, outside.",https://csefel.vanderbilt.edu/booknook/quiet_loud.pdf,Social and Emotional Development,12 - 36,,,,,,,,
ATL-REG 2: Self-Comforting,"Exploring Later, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,Hands Are Not for Hitting By Martine Agassi,"The story helps children understand why they may feel like hitting and offers many ways one can deal with feelings by replacing the use of hitting with alternative skills. Suggested alternatives to hitting are: use of feeling words, ways of letting your feeling out
in a non-violet manner, problem-solving, trying to understand how others might feel when you hit, and how to use one’s hands appropriately. Additional Activities include music/movement, ASL, dramatic play, science, art, math, snack.",https://csefel.vanderbilt.edu/booknook/hands/hands_new.pdf,Social and Emotional Development,24 - 36,,,,,,,,
ATL-REG 5: Self-Control of Feelings and Behavior,"Exploring Later, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,Hands Are Not for Hitting By Martine Agassi,"The story helps children understand why they may feel like hitting and offers many ways one can deal with feelings by replacing the use of hitting with alternative skills. Suggested alternatives to hitting are: use of feeling words, ways of letting your feeling out
in a non-violet manner, problem-solving, trying to understand how others might feel when you hit, and how to use one’s hands appropriately. Additional Activities include music/movement, ASL, dramatic play, science, art, math, snack.",https://csefel.vanderbilt.edu/booknook/hands/hands_new.pdf,Social and Emotional Development,24 - 36,,,,,,,,
SED 2: Social and Emotional Understanding,"Exploring Later, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,Hands Are Not for Hitting By Martine Agassi,"The story helps children understand why they may feel like hitting and offers many ways one can deal with feelings by replacing the use of hitting with alternative skills. Suggested alternatives to hitting are: use of feeling words, ways of letting your feeling out
in a non-violet manner, problem-solving, trying to understand how others might feel when you hit, and how to use one’s hands appropriately. Additional Activities include music/movement, ASL, dramatic play, science, art, math, snack.",https://csefel.vanderbilt.edu/booknook/hands/hands_new.pdf,Social and Emotional Development,24 - 36,,,,,,,,
SED 3: Relationships and Social Interactions with Familiar Adults,"Exploring Later, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,Hands Are Not for Hitting By Martine Agassi,"The story helps children understand why they may feel like hitting and offers many ways one can deal with feelings by replacing the use of hitting with alternative skills. Suggested alternatives to hitting are: use of feeling words, ways of letting your feeling out
in a non-violet manner, problem-solving, trying to understand how others might feel when you hit, and how to use one’s hands appropriately. Additional Activities include music/movement, ASL, dramatic play, science, art, math, snack.",https://csefel.vanderbilt.edu/booknook/hands/hands_new.pdf,Social and Emotional Development,24 - 36,,,,,,,,
SED 4: Relationships and Social Interactions with Peers,"Exploring Later, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,Hands Are Not for Hitting By Martine Agassi,"The story helps children understand why they may feel like hitting and offers many ways one can deal with feelings by replacing the use of hitting with alternative skills. Suggested alternatives to hitting are: use of feeling words, ways of letting your feeling out
in a non-violet manner, problem-solving, trying to understand how others might feel when you hit, and how to use one’s hands appropriately. Additional Activities include music/movement, ASL, dramatic play, science, art, math, snack.",https://csefel.vanderbilt.edu/booknook/hands/hands_new.pdf,Social and Emotional Development,24 - 36,,,,,,,,
SED 2: Social and Emotional Understanding,"Exploring Later, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,Glad Monster Sad Monster By Ed Emberley & Anne Miranda,"Talk about feelings and emotions as they relate to colors. Additional activities for art, music and literacy.",https://csefel.vanderbilt.edu/booknook/glad/glad.pdf,Social and Emotional Development,24 - 36,,,,,,,,
SED 2: Social and Emotional Understanding,"Exploring Later, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,Glad Monster Sad Monster By Ed Emberley & Anne Miranda,"Talk about feelings and emotions as they relate to colors. Additional activities for art, music and literacy.",https://csefel.vanderbilt.edu/booknook/glad/glad.pdf,Social and Emotional Development,24 - 36,,,,,,,,
SED 2: Social and Emotional Understanding,"Exploring Earlier, Exploring Later, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,Baby Cakes By: Karma Wilson and Illustrated by Sam Williams,"How do you know you're loved? Additional activities with games, mirrors, music.",https://csefel.vanderbilt.edu/booknook/bn_babycakes.pdf,Social and Emotional Development,12 - 36,,,,,,,,
SED 3: Relationships and Social Interactions with Familiar Adults,"Exploring Earlier, Exploring Later, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,Baby Cakes By: Karma Wilson and Illustrated by Sam Williams,"How do you know you're loved? Additional activities with games, mirrors, music.",https://csefel.vanderbilt.edu/booknook/bn_babycakes.pdf,Social and Emotional Development,12 - 36,,,,,,,,
SED 4: Relationships and Social Interactions with Peers,"Exploring Earlier, Exploring Later, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,Baby Cakes By: Karma Wilson and Illustrated by Sam Williams,"How do you know you're loved? Additional activities with games, mirrors, music.",https://csefel.vanderbilt.edu/booknook/bn_babycakes.pdf,Social and Emotional Development,12 - 36,,,,,,,,
ATL-REG 2: Self-Comforting,"Exploring Earlier, Exploring Later, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,Taking a Bath With the Dog and Other Things That Make Me Happy by Scott Menchin,"What makes you happy? Additional activities with art, music and dramatic play",http://csefel.vanderbilt.edu/booknook/bn_bath.pdf,Social and Emotional Development,24 - 36,,,,,,,,
ATL-REG 5: Self-Control of Feelings and Behavior,"Exploring Earlier, Exploring Later, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,Taking a Bath With the Dog and Other Things That Make Me Happy by Scott Menchin,"What makes you happy? Additional activities with art, music and dramatic play",http://csefel.vanderbilt.edu/booknook/bn_bath.pdf,Social and Emotional Development,24 - 36,,,,,,,,
SED 2: Social and Emotional Understanding,"Exploring Earlier, Exploring Later, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,Taking a Bath With the Dog and Other Things That Make Me Happy by Scott Menchin,"What makes you happy? Additional activities with art, music and dramatic play",http://csefel.vanderbilt.edu/booknook/bn_bath.pdf,Social and Emotional Development,24 - 36,,,,,,,,
ATL-REG 5: Self-Control of Feelings and Behavior,"Exploring Earlier, Exploring Later, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,Pat Them Gently By Melanie O’Brien,Lessons on how to be gentle with animals and others. Additional activities for art and dramatic play,https://csefel.vanderbilt.edu/booknook/bn_patgently.pdf,Social and Emotional Development,12 - 36,,,,,,,,
SED 1: Identity of Self in Relation to Others,"Exploring Earlier, Exploring Later, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,Pat Them Gently By Melanie O’Brien,Lessons on how to be gentle with animals and others. Additional activities for art and dramatic play,https://csefel.vanderbilt.edu/booknook/bn_patgently.pdf,Social and Emotional Development,12 - 36,,,,,,,,
SED 2: Social and Emotional Understanding,"Exploring Earlier, Exploring Later, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,Pat Them Gently By Melanie O’Brien,Lessons on how to be gentle with animals and others. Additional activities for art and dramatic play,https://csefel.vanderbilt.edu/booknook/bn_patgently.pdf,Social and Emotional Development,12 - 36,,,,,,,,
SED 3: Relationships and Social Interactions with Familiar Adults,"Exploring Earlier, Exploring Later, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,Pat Them Gently By Melanie O’Brien,Lessons on how to be gentle with animals and others. Additional activities for art and dramatic play,https://csefel.vanderbilt.edu/booknook/bn_patgently.pdf,Social and Emotional Development,12 - 36,,,,,,,,
SED 4: Relationships and Social Interactions with Peers,"Exploring Earlier, Exploring Later, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,Pat Them Gently By Melanie O’Brien,Lessons on how to be gentle with animals and others. Additional activities for art and dramatic play,https://csefel.vanderbilt.edu/booknook/bn_patgently.pdf,Social and Emotional Development,12 - 36,,,,,,,,
SED 5: Symbolic and Sociodramatic Play,"Exploring Earlier, Exploring Later, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,Pat Them Gently By Melanie O’Brien,Lessons on how to be gentle with animals and others. Additional activities for art and dramatic play,https://csefel.vanderbilt.edu/booknook/bn_patgently.pdf,Social and Emotional Development,12 - 36,,,,,,,,
SED 1: Identity of Self in Relation to Others,"Exploring Earlier, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,No Matter What By Debi Gliori,"Book about how people show their love. Additional activities for art, music, dramatic play",https://csefel.vanderbilt.edu/booknook/no_matter.pdf,Social and Emotional Development,24 - 36,,,,,,,,
 SED 2: Social and Emotional Understanding,"Exploring Earlier, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,No Matter What By Debi Gliori,"Book about how people show their love. Additional activities for art, music, dramatic play",https://csefel.vanderbilt.edu/booknook/no_matter.pdf,Social and Emotional Development,24 - 36,,,,,,,,
SED 3: Relationships and Social Interactions with Familiar Adults,"Exploring Earlier, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,No Matter What By Debi Gliori,"Book about how people show their love. Additional activities for art, music, dramatic play",https://csefel.vanderbilt.edu/booknook/no_matter.pdf,Social and Emotional Development,24 - 36,,,,,,,,
SED 4: Relationships and Social Interactions with Peers,"Exploring Earlier, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,No Matter What By Debi Gliori,"Book about how people show their love. Additional activities for art, music, dramatic play",https://csefel.vanderbilt.edu/booknook/no_matter.pdf,Social and Emotional Development,24 - 36,,,,,,,,
ATL-REG 2: Self-Comforting,"Exploring Later, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,Mouse Was Mad By Linda Urban,"Mouse finds the perfect way to show he is mad. Additional activities for outdoors, art and dramatic play.",https://csefel.vanderbilt.edu/booknook/bn_madmouse.pdf,Social and Emotional Development,24 - 36,,,,,,,,
ATL-REG 5: Self-Control of Feelings and Behavior,"Exploring Later, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,Mouse Was Mad By Linda Urban,"Mouse finds the perfect way to show he is mad. Additional activities for outdoors, art and dramatic play.",https://csefel.vanderbilt.edu/booknook/bn_madmouse.pdf,Social and Emotional Development,24 - 36,,,,,,,,
SED 2: Social and Emotional Understanding,"Exploring Later, Building Earlier","Planned Learning Activity, Learning Environment and Materials, Family Engagement",CSEFEL,Mouse Was Mad By Linda Urban,"Mouse finds the perfect way to show he is mad. Additional activities for outdoors, art and dramatic play.",https://csefel.vanderbilt.edu/booknook/bn_madmouse.pdf,Social and Emotional Development,24 - 36,,,,,,,,
